City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Pitimbu,BR,72.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
251,Shizunai,JP,73.35,few clouds,42.3339,142.3669,Shizunai Eclipse Hotel
252,Talnakh,RU,59.67,overcast clouds,69.4865,88.3972,Talnakh Hotel
254,Teruel,ES,60.76,moderate rain,40.6667,-0.6667,La Parra
255,Yambio,SS,66.9,light rain,4.5721,28.3955,Naivasha Hotel
257,Broadstairs,GB,64.2,overcast clouds,51.3591,1.4394,Royal Albion Hotel
258,Wynyard,AU,54.25,light rain,-41.0,145.7167,Burnie Airport Motel
259,Sorland,NO,54.14,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
260,Saint Albans,GB,63.1,overcast clouds,51.75,-0.3333,Quality Hotel St. Albans
262,Divnogorsk,RU,73.89,scattered clouds,55.9594,92.3619,Дивный
265,Gat,IL,79.48,few clouds,31.61,34.7642,OlusHome
267,Saint-Pierre,RE,67.64,clear sky,-21.3393,55.4781,Lindsey Hôtel
268,Karratha,AU,77.04,broken clouds,-20.7377,116.8463,ibis Styles Karratha
270,Sudbury,CA,72.46,clear sky,46.49,-80.99,Travelway Inn Sudbury
273,Erzin,TR,77.72,clear sky,36.9559,36.2,Artemis Otel
275,Aklavik,CA,56.23,overcast clouds,68.2191,-135.0107,Aklavik Inn
276,Saint-Joseph,RE,66.56,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
278,Fethiye,TR,75.07,clear sky,36.6217,29.1164,Club & Hotel Letoonia
281,Kaeo,NZ,59.54,few clouds,-35.1,173.7833,Bushido Lodge
284,New Norfolk,AU,54.9,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
286,Balsas,BR,77.02,clear sky,-7.5325,-46.0356,Novo Hotel
287,Carutapera,BR,75.83,few clouds,-1.195,-46.02,Lidera
289,Inuvik,CA,56.26,overcast clouds,68.3499,-133.7218,Nova Inn Inuvik
290,High Level,CA,68.11,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
291,Vila Franca Do Campo,PT,68.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
300,Ambatondrazaka,MG,56.34,light rain,-17.8333,48.4167,MANAMBINA Hotel
303,Puerto Cabezas,NI,77.83,overcast clouds,14.0351,-83.3888,Cabaña Caribe
305,Mantua,IT,74.91,overcast clouds,45.1667,10.7833,Hotel la Favorita
306,Khani,GE,58.57,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
307,Imbituba,BR,64.81,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
309,Kismayo,SO,74.98,light rain,-0.3582,42.5454,Agan-Hotel
310,Laranjeiras Do Sul,BR,56.59,light rain,-25.4078,-52.4161,Hotel Palmeiras
311,Dalby,AU,62.98,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
312,Flinders,AU,63.81,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
313,Petropavlovsk-Kamchatskiy,RU,77.59,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
317,Omsukchan,RU,54.0,light rain,62.5333,155.8,Zori
318,Valparaiso,CL,54.48,broken clouds,-33.0393,-71.6273,Hotel Ultramar
320,Atherton,GB,62.29,clear sky,53.5237,-2.4935,The Lion Inn
323,Hastings,GB,64.33,overcast clouds,50.8552,0.5729,Zanzibar Hotel
324,Nantucket,US,73.99,overcast clouds,41.2835,-70.0995,Jared Coffin House
331,Chiang Khong,TH,77.32,overcast clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
332,Peniche,PT,69.73,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
335,Vrangel,RU,78.94,scattered clouds,42.7297,133.0839,"Отель ""БАЛИ"""
337,Old Saybrook,US,75.4,few clouds,41.2918,-72.3762,Saybrook Point Resort & Marina - Luxury Connecticut Oceanside Hotel
340,La Ronge,CA,61.05,broken clouds,55.1001,-105.2842,Northland Motor Hotel
344,Svetlogorsk,BY,60.85,scattered clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
346,Bilibino,RU,61.81,scattered clouds,68.0546,166.4372,Gostinitsa Severyanka
347,College,US,71.26,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
352,Navalgund,IN,74.3,overcast clouds,15.5667,75.3667,Naveen Park Hotel
356,Lancut,PL,70.79,clear sky,50.0687,22.2291,VIS a VIS
358,Dondaicha,IN,78.15,overcast clouds,21.3333,74.5667,Mahavir Farm House
