City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
61,Tazovskiy,RU,67.4667,78.7,50.86,73,100,6.8,2021-07-26 02:23:14,overcast clouds
62,Amapa,BR,1.0,-52.0,70.68,97,12,2.24,2021-07-26 02:23:14,few clouds
63,Busselton,AU,-33.65,115.3333,65.05,71,1,25.17,2021-07-26 02:23:15,clear sky
64,Hermanus,ZA,-34.4187,19.2345,52.81,51,100,9.51,2021-07-26 02:21:31,overcast clouds
65,Kargil,IN,34.5667,76.1,67.06,50,52,3.85,2021-07-26 02:23:15,broken clouds
66,Bubaque,GW,11.2833,-15.8333,79.16,82,100,8.37,2021-07-26 02:21:57,light rain
67,Vao,NC,-22.6667,167.4833,70.72,65,87,19.62,2021-07-26 02:19:03,overcast clouds
68,Chokurdakh,RU,70.6333,147.9167,54.23,43,39,8.72,2021-07-26 02:22:54,scattered clouds
69,Kruisfontein,ZA,-34.0033,24.7314,57.88,34,100,11.59,2021-07-26 02:23:17,overcast clouds
70,Hofn,IS,64.2539,-15.2082,51.3,89,20,11.65,2021-07-26 02:23:17,few clouds
71,Atuona,PF,-9.8,-139.0333,78.28,71,6,24.85,2021-07-26 02:23:18,clear sky
72,Winfield,US,37.2398,-96.9956,78.82,78,1,0.0,2021-07-26 02:20:51,clear sky
73,Saint George,US,37.1041,-113.5841,83.35,60,1,1.01,2021-07-26 02:21:39,clear sky
74,Thinadhoo,MV,0.5333,72.9333,81.99,69,97,2.71,2021-07-26 02:23:00,overcast clouds
75,Hami,CN,42.8,93.45,90.48,15,6,10.04,2021-07-26 02:23:18,clear sky
76,Mar Del Plata,AR,-38.0023,-57.5575,47.12,60,0,5.99,2021-07-26 02:23:18,clear sky
77,Zvishavane,ZW,-20.3267,30.0665,41.59,80,0,3.27,2021-07-26 02:23:19,clear sky
78,Hithadhoo,MV,-0.6,73.0833,80.98,75,100,5.84,2021-07-26 02:23:19,light rain
79,Cabo San Lucas,MX,22.8909,-109.9124,89.82,70,1,7.0,2021-07-26 02:20:00,clear sky
80,Port Alfred,ZA,-33.5906,26.891,59.74,31,43,11.9,2021-07-26 02:23:19,scattered clouds
81,Port Hardy,CA,50.6996,-127.4199,62.78,82,75,2.3,2021-07-26 02:23:20,broken clouds
82,Beringovskiy,RU,63.05,179.3167,50.09,92,99,6.22,2021-07-26 02:20:34,overcast clouds
83,Albany,US,42.6001,-73.9662,72.39,94,0,4.09,2021-07-26 02:18:48,clear sky
84,Puerto Ayora,EC,-0.7393,-90.3518,71.55,89,3,5.99,2021-07-26 02:23:20,clear sky
85,Aguimes,ES,27.9054,-15.4461,69.66,66,20,23.02,2021-07-26 02:23:20,few clouds
86,Meulaboh,ID,4.1363,96.1285,81.18,76,86,2.75,2021-07-26 02:23:21,overcast clouds
87,Bonthe,SL,7.5264,-12.505,75.76,86,98,5.1,2021-07-26 02:23:21,light rain
88,Ilulissat,GL,69.2167,-51.1,50.02,43,100,11.5,2021-07-26 02:23:21,overcast clouds
89,Ahuimanu,US,21.4447,-157.8378,91.11,67,75,11.5,2021-07-26 02:23:22,broken clouds
90,Nelson Bay,AU,-32.7167,152.15,67.95,52,0,3.0,2021-07-26 02:19:59,clear sky
